player,test_games,accuracy,threshold,pred_avg,actual_over_rate
Jrue Holiday,236,0.559322033898305,15.56,15.523857868020304,0.4406779661016949
Mikal Bridges,122,0.5491803278688525,14.61,14.462121212121213,0.45081967213114754
Harrison Barnes,218,0.5412844036697247,13.42,13.371891891891892,0.45871559633027525
Nikola Jokic,159,0.5220125786163522,22.01,21.989159891598916,0.4779874213836478
Tobias Harris,222,0.5180180180180181,15.9,15.88409090909091,0.481981981981982
Stephen Curry,271,0.5166051660516605,24.6,24.555114200595828,0.4833948339483395
Nikola Vucevic,208,0.5048076923076923,16.84,16.873563218390803,0.5048076923076923
James Harden,283,0.49823321554770317,23.58,23.45227475468332,0.5017667844522968
Rudy Gobert,201,0.47761194029850745,12.46,12.28479381443299,0.5223880597014925
Karl-Anthony Towns,155,0.4774193548387097,22.39,22.411371237458194,0.4774193548387097
Kevin Durant,275,0.46545454545454545,26.99,26.88858695652174,0.5345454545454545
Devin Booker,160,0.4625,24.35,24.43606557377049,0.4625
Buddy Hield,165,0.45454545454545453,14.61,14.291139240506329,0.5454545454545454
