firstName,lastName,personId,gameId,gameDate,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,fullName,game_year,birth_year,age_at_game,player_threshold,over_threshold,age_expected_points,age_expected_minutes,points_vs_age_expected,minutes_vs_age_expected,age_category,years_in_league_approx,career_stage,fg_percentage,three_point_percentage,free_throw_percentage,points_per_minute,total_shot_attempts,month,day_of_week,is_weekend
Nikola,Vucevic,202696,22500263,2025-11-19 22:00:00+00:00,Chicago,Bulls,Portland,Trail Blazers,,,,,True,False,33.34,27.0,2.0,1.0,1.0,19.0,11.0,0.579,9.0,5.0,0.556,0.0,0.0,0.0,7.0,1.0,8.0,2.0,3.0,-2.0,Nikola Vucevic,2025,,,16.84,1,,,,,,,,0.5789473684210527,0.5555555555555556,0.0,0.8098380323935213,19.0,11.0,2.0,0
Karl-Anthony,Towns,1626157,22500262,2025-11-19 21:30:00+00:00,New York,Knicks,Dallas,Mavericks,,,,,True,False,34.5,18.0,6.0,0.0,2.0,16.0,6.0,0.375,6.0,1.0,0.167,9.0,5.0,0.556,10.0,4.0,14.0,4.0,3.0,4.0,Karl-Anthony Towns,2025,,,22.39,0,,,,,,,,0.375,0.16666666666666666,0.5555555555555556,0.5217391304347826,25.0,11.0,2.0,0
Mikal,Bridges,1628969,22500262,2025-11-19 21:30:00+00:00,New York,Knicks,Dallas,Mavericks,,,,,True,False,35.03,16.0,6.0,2.0,3.0,13.0,7.0,0.538,5.0,1.0,0.2,2.0,1.0,0.5,4.0,1.0,5.0,1.0,2.0,-3.0,Mikal Bridges,2025,,,14.61,1,,,,,,,,0.5384615384615384,0.2,0.5,0.456751355980588,15.0,11.0,2.0,0
Rudy,Gobert,203497,22500259,2025-11-19 20:00:00+00:00,Minnesota,Timberwolves,Washington,Wizards,,,,,True,True,36.05,9.0,3.0,1.0,0.0,5.0,4.0,0.8,0.0,0.0,0.0,2.0,1.0,0.5,8.0,7.0,15.0,4.0,4.0,6.0,Rudy Gobert,2025,,,12.46,0,,,,,,,,0.8,0.0,0.5,0.24965325936199725,7.0,11.0,2.0,0
Nikola,Jokic,203999,22500260,2025-11-19 20:00:00+00:00,Denver,Nuggets,New Orleans,Pelicans,,,,,True,False,34.26,28.0,12.0,0.0,0.0,18.0,10.0,0.556,4.0,2.0,0.5,7.0,6.0,0.857,7.0,4.0,11.0,6.0,9.0,9.0,Nikola Jokic,2025,,,22.01,1,,,,,,,,0.5555555555555556,0.5,0.8571428571428571,0.8172796263864566,25.0,11.0,2.0,0
Buddy,Hield,1627741,22500257,2025-11-19 19:30:00+00:00,Golden State,Warriors,Miami,Heat,,,,,False,False,30.5,18.0,3.0,0.0,2.0,20.0,7.0,0.35,15.0,4.0,0.267,0.0,0.0,0.0,6.0,0.0,6.0,4.0,4.0,-11.0,Buddy Hield,2025,,,14.61,1,,,,,,,,0.35,0.26666666666666666,0.0,0.5901639344262295,20.0,11.0,2.0,0
Kevin,Durant,201142,22500255,2025-11-19 19:00:00+00:00,Houston,Rockets,Cleveland,Cavaliers,,,,,True,False,36.31,20.0,3.0,0.0,0.0,18.0,6.0,0.333,6.0,1.0,0.167,8.0,7.0,0.875,3.0,0.0,3.0,2.0,4.0,6.0,Kevin Durant,2025,,,26.99,0,,,,,,,,0.3333333333333333,0.16666666666666666,0.875,0.5508124483613329,26.0,11.0,2.0,0
Devin,Booker,1626164,22500254,2025-11-18 23:00:00+00:00,Phoenix,Suns,Portland,Trail Blazers,,,,,True,False,29.03,19.0,5.0,0.0,3.0,13.0,6.0,0.462,2.0,1.0,0.5,6.0,6.0,1.0,5.0,1.0,6.0,2.0,1.0,17.0,Devin Booker,2025,,,24.35,0,,,,,,,,0.46153846153846156,0.5,1.0,0.6544953496383051,19.0,11.0,1.0,0
Harrison,Barnes,203084,22500252,2025-11-18 20:00:00+00:00,San Antonio,Spurs,Memphis,Grizzlies,,,,,True,True,32.09,23.0,3.0,0.0,1.0,14.0,9.0,0.643,8.0,4.0,0.5,1.0,1.0,1.0,5.0,0.0,5.0,1.0,0.0,3.0,Harrison Barnes,2025,,,13.42,1,,,,,,,,0.6428571428571429,0.5,1.0,0.7167341851043938,15.0,11.0,1.0,0
Buddy,Hield,1627741,22500249,2025-11-18 19:00:00+00:00,Golden State,Warriors,Orlando,Magic,,,,,False,False,15.12,2.0,0.0,0.0,0.0,3.0,1.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,Buddy Hield,2025,,,14.61,0,,,,,,,,0.3333333333333333,0.0,0.0,0.1322751322751323,3.0,11.0,1.0,0
